Date,USA IMI/INDUSTRIALS
12/20/1995,293.1744088
12/21/1995,294.3903234
12/22/1995,295.0382835
12/25/1995,295.0382835
12/26/1995,295.9459014
12/27/1995,296.5003639
12/28/1995,297.0648822
12/29/1995,299.8835933
1/1/1996,299.8835933
1/2/1996,302.5362749
1/3/1996,302.3387996
1/4/1996,300.1180451
1/5/1996,299.764538
1/8/1996,301.9145708
1/9/1996,298.0697976
1/10/1996,292.4754547
1/11/1996,294.0551724
1/12/1996,293.9348493
1/15/1996,292.7556349
1/16/1996,293.2647401
1/17/1996,293.0738575
1/18/1996,294.8395457
1/19/1996,296.5929602
1/22/1996,297.3516754
1/23/1996,297.1048779
1/24/1996,299.2766535
1/25/1996,299.4710132
1/26/1996,301.4688315
1/29/1996,301.8749722
1/30/1996,303.8632005
1/31/1996,306.8649866
2/1/1996,307.6352272
2/2/1996,307.9518793
2/5/1996,309.8757259
2/6/1996,312.0657184
2/7/1996,312.6203404
2/8/1996,315.7717726
2/9/1996,316.7798566
2/12/1996,318.3096646
2/13/1996,318.4320776
2/14/1996,317.6266518
2/15/1996,316.0209658
2/16/1996,314.787384
2/19/1996,314.787384
2/20/1996,312.5064357
2/21/1996,315.8320424
2/22/1996,320.8263223
2/23/1996,320.4453903
2/26/1996,317.2218268
2/27/1996,315.7513831
2/28/1996,313.5804206
2/29/1996,312.1704819
3/1/1996,313.7467501
3/4/1996,318.7174145
3/5/1996,318.6476978
3/6/1996,318.4973248
3/7/1996,318.2562899
3/8/1996,310.1064181
3/11/1996,315.9684826
3/12/1996,315.3461612
3/13/1996,315.6165803
3/14/1996,317.8726918
3/15/1996,317.8816083
3/18/1996,324.1558888
3/19/1996,324.6202556
3/20/1996,323.7786485
3/21/1996,322.9597529
3/22/1996,324.988279
3/25/1996,324.0053013
3/26/1996,324.3666624
3/27/1996,322.7907821
3/28/1996,323.2282348
3/29/1996,321.6425216
4/1/1996,324.457662
4/2/1996,325.3838091
4/3/1996,326.5702786
4/4/1996,326.5706726
