Date,USA IMI/UTILITIES
12/22/1995,335.0118693
12/25/1995,335.0118693
12/26/1995,335.4296444
12/27/1995,336.0669699
12/28/1995,337.0929605
12/29/1995,337.6767804
1/1/1996,337.6767804
1/2/1996,339.3122696
1/3/1996,340.2017188
1/4/1996,339.2953415
1/5/1996,340.4983481
1/8/1996,340.8810899
1/9/1996,341.3315227
1/10/1996,338.3282572
1/11/1996,338.6463394
1/12/1996,337.0806377
1/15/1996,337.5159474
1/16/1996,341.3006362
1/17/1996,341.3592427
1/18/1996,341.2337364
1/19/1996,340.7460707
1/22/1996,339.4851071
1/23/1996,339.8441546
1/24/1996,341.8208384
1/25/1996,340.4040128
1/26/1996,341.1582146
1/29/1996,341.9453465
1/30/1996,342.184978
1/31/1996,343.7651709
2/1/1996,343.2354571
2/2/1996,341.9203718
2/5/1996,343.4267696
2/6/1996,344.0021306
2/7/1996,345.6367183
2/8/1996,346.3052962
2/9/1996,347.3639991
2/12/1996,349.8723309
2/13/1996,350.8610962
2/14/1996,348.5969269
2/15/1996,348.8283664
2/16/1996,347.3629856
2/19/1996,347.3629856
2/20/1996,341.7450534
2/21/1996,342.3960044
2/22/1996,345.0086448
2/23/1996,343.127524
2/26/1996,340.0846999
2/27/1996,339.987874
2/28/1996,338.5975954
2/29/1996,335.8208703
3/1/1996,337.6123269
3/4/1996,341.3333289
3/5/1996,340.2231407
3/6/1996,338.7037626
3/7/1996,338.917163
3/8/1996,330.6613106
3/11/1996,329.8508971
3/12/1996,326.3599985
3/13/1996,326.0472576
3/14/1996,326.056489
3/15/1996,325.3480538
3/18/1996,331.90711
3/19/1996,330.9836483
3/20/1996,332.2428461
3/21/1996,332.8887862
3/22/1996,333.5151646
3/25/1996,335.0173521
3/26/1996,335.890405
3/27/1996,337.1261677
3/28/1996,336.303711
3/29/1996,334.2864369
4/1/1996,335.9971838
4/2/1996,335.5808453
4/3/1996,334.7722812
4/4/1996,333.9352686
4/5/1996,333.9352686
4/8/1996,325.4994688
4/9/1996,327.308634
4/10/1996,323.5481331
4/11/1996,321.0871259
4/12/1996,323.1581153
4/15/1996,324.2025682
4/16/1996,324.7275753
4/17/1996,323.4235561
4/18/1996,323.381623
4/19/1996,323.0974809
4/22/1996,323.3047739
4/23/1996,323.7249571
4/24/1996,324.4044062
4/25/1996,324.7906585
4/26/1996,325.2474738
4/29/1996,325.5995995
4/30/1996,326.0013262
5/1/1996,327.1474815
5/2/1996,323.588321
5/3/1996,321.4920956
5/6/1996,321.7983511
5/7/1996,321.540038
5/8/1996,326.5241565
5/9/1996,327.7394976
5/10/1996,331.0872745
5/13/1996,334.0531907
5/14/1996,335.3212793
5/15/1996,334.5814209
5/16/1996,333.0396604
5/17/1996,333.5000834
5/20/1996,333.3863487
5/21/1996,333.4223019
5/22/1996,337.1352442
5/23/1996,335.9501013
5/24/1996,337.5129467
5/27/1996,337.5129467
5/28/1996,335.2593116
5/29/1996,333.6963258
5/30/1996,333.8971656
5/31/1996,330.5646474
6/3/1996,329.1460851
6/4/1996,331.0260073
6/5/1996,333.1832794
6/6/1996,332.9043303
6/7/1996,330.1835662
6/10/1996,329.6641078
6/11/1996,329.5268038
6/12/1996,328.0204984
6/13/1996,327.969128
6/14/1996,328.4859865
6/17/1996,327.8102121
6/18/1996,329.0333858
6/19/1996,329.0627311
6/20/1996,330.0937908
6/21/1996,333.5236123
6/24/1996,334.31339
6/25/1996,335.4544733
6/26/1996,335.9230375
6/27/1996,339.2587355
6/28/1996,347.6825308
7/1/1996,347.0942528
7/2/1996,346.4442558
7/3/1996,345.8215927
7/4/1996,345.8215927
7/5/1996,337.4310471
7/8/1996,337.9353398
7/9/1996,339.9518805
7/10/1996,340.4496498
7/11/1996,339.4873737
7/12/1996,342.5015842
7/15/1996,340.0046793
7/16/1996,336.9594146
7/17/1996,336.1942271
7/18/1996,336.3224004
7/19/1996,334.0765996
7/22/1996,332.5909321
7/23/1996,331.7652466
7/24/1996,331.6341342
7/25/1996,331.2409542
7/26/1996,331.5302883
7/29/1996,329.2660926
7/30/1996,329.0158094
7/31/1996,328.9286838
8/1/1996,333.4364482
8/2/1996,337.7879296
8/5/1996,337.24264
8/6/1996,336.100589
8/7/1996,336.2715784
8/8/1996,336.0670306
8/9/1996,336.4681425
8/12/1996,338.7330218
8/13/1996,337.3244352
8/14/1996,339.2462014
8/15/1996,339.1364661
8/16/1996,341.9116135
8/19/1996,342.6471391
8/20/1996,342.7093973
8/21/1996,343.1649614
8/22/1996,344.0665149
8/23/1996,343.3748932
8/26/1996,343.7730139
8/27/1996,344.7260814
8/28/1996,343.9702673
8/29/1996,341.5409049
8/30/1996,338.8191213
9/2/1996,338.8191213
9/3/1996,338.0326623
9/4/1996,337.2143809
9/5/1996,334.8355281
9/6/1996,335.9549793
9/9/1996,337.9742287
9/10/1996,338.2993317
9/11/1996,338.5286505
9/12/1996,340.2673924
9/13/1996,343.2640016
9/16/1996,343.782197
9/17/1996,342.8579212
9/18/1996,341.6167862
9/19/1996,341.0939436
9/20/1996,342.6523878
9/23/1996,342.2575276
9/24/1996,342.5966358
9/25/1996,342.6092159
9/26/1996,342.7821918
9/27/1996,342.4480318
9/30/1996,341.5994819
10/1/1996,342.6234408
10/2/1996,344.3978761
10/3/1996,344.2302641
10/4/1996,348.3830213
10/7/1996,348.7428986
10/8/1996,348.924763
10/9/1996,346.7614159
10/10/1996,345.3037744
10/11/1996,346.9974311
10/14/1996,347.3118036
10/15/1996,347.4767432
10/16/1996,347.7652691
10/17/1996,349.37315
10/18/1996,349.8305843
10/21/1996,349.4507772
10/22/1996,349.1472937
10/23/1996,348.6305884
10/24/1996,349.1998663
10/25/1996,349.8983287
10/28/1996,349.7548889
10/29/1996,353.0790154
10/30/1996,354.0494208
10/31/1996,355.3128196
11/1/1996,355.8994239
11/4/1996,357.8904893
11/5/1996,360.4892096
11/6/1996,364.4932077
11/7/1996,365.4084004
11/8/1996,364.6097643
11/11/1996,364.3042818
11/12/1996,364.3392377
11/13/1996,364.5832834
11/14/1996,364.8571421
11/15/1996,364.9406153
11/18/1996,363.633208
11/19/1996,364.4583263
11/20/1996,365.1886997
11/21/1996,365.1276151
11/22/1996,364.6771959
11/25/1996,366.7104018
11/26/1996,364.9074635
11/27/1996,364.2778968
11/28/1996,364.2778968
11/29/1996,363.9923509
12/2/1996,362.9218967
12/3/1996,362.3568317
12/4/1996,363.1254353
12/5/1996,363.3021185
12/6/1996,359.6323501
12/9/1996,361.9086554
12/10/1996,360.9618797
12/11/1996,357.9928074
12/12/1996,353.5796506
12/13/1996,355.3269557
12/16/1996,354.6396551
12/17/1996,354.839365
12/18/1996,355.7217682
12/19/1996,359.8399114
12/20/1996,362.1847945
12/23/1996,361.3483085
12/24/1996,362.0691895
12/25/1996,362.0691895
12/26/1996,362.964349
12/27/1996,365.5030424
12/30/1996,365.7674589
12/31/1996,363.6351679
1/1/1997,363.6351679
1/2/1997,360.085774
1/3/1997,361.7136203
1/6/1997,361.570971
1/7/1997,364.5854298
1/8/1997,365.3613447
1/9/1997,367.3771694
1/10/1997,367.7823775
1/13/1997,368.3589898
1/14/1997,369.826506
1/15/1997,370.0998027
1/16/1997,369.5343147
1/17/1997,371.6081954
1/20/1997,370.6180602
