Date,USA IMI/INFORMATION TECH
10/11/1995,410.8638652
10/12/1995,418.9812135
10/13/1995,418.4697021
10/16/1995,418.8652296
10/17/1995,434.1888969
10/18/1995,442.445721
10/19/1995,443.202097
10/20/1995,434.7404717
10/23/1995,440.4149873
10/24/1995,440.5405033
10/25/1995,432.9975388
10/26/1995,433.4684119
10/27/1995,439.0579113
10/30/1995,449.2581375
10/31/1995,445.1297714
11/1/1995,445.5707636
11/2/1995,455.2462441
11/3/1995,460.9770154
11/6/1995,455.4319233
11/7/1995,441.2860216
11/8/1995,441.5865105
11/9/1995,455.7698092
11/10/1995,456.600778
11/13/1995,450.445969
11/14/1995,437.0514703
11/15/1995,439.2039399
11/16/1995,440.1105015
11/17/1995,437.4592676
11/20/1995,425.1941528
11/21/1995,422.8918448
11/22/1995,418.5879747
11/23/1995,418.5879747
11/24/1995,424.9013319
11/27/1995,422.9902043
11/28/1995,439.5995835
11/29/1995,440.5870786
11/30/1995,438.7088651
12/1/1995,433.2173403
12/4/1995,440.7947133
12/5/1995,438.2631564
12/6/1995,433.8961268
12/7/1995,430.3145946
12/8/1995,438.8722379
12/11/1995,438.8220729
12/12/1995,431.8440329
12/13/1995,431.1401621
12/14/1995,417.7911395
12/15/1995,409.4258395
12/18/1995,397.1679483
12/19/1995,417.9099272
12/20/1995,411.0001013
12/21/1995,417.6710343
12/22/1995,421.3917566
12/25/1995,421.3917566
12/26/1995,423.048689
12/27/1995,420.5808572
12/28/1995,414.3706969
12/29/1995,417.2218347
1/1/1996,417.2218347
1/2/1996,421.0606709
1/3/1996,409.7179572
1/4/1996,401.1138504
1/5/1996,402.550646
1/8/1996,402.753847
1/9/1996,378.6853899
1/10/1996,379.3904845
1/11/1996,392.4175538
1/12/1996,388.7987397
1/15/1996,374.2271282
1/16/1996,381.976569
1/17/1996,382.1190001
1/18/1996,389.8012277
1/19/1996,401.1494206
1/22/1996,410.458456
1/23/1996,410.2606276
1/24/1996,419.8052686
1/25/1996,412.6459634
1/26/1996,414.2022592
1/29/1996,414.3270074
1/30/1996,418.8406204
1/31/1996,421.5597302
2/1/1996,428.4353272
2/2/1996,430.5287264
2/5/1996,442.3976962
2/6/1996,448.5931766
2/7/1996,442.8241789
2/8/1996,445.9689969
2/9/1996,445.1399832
2/12/1996,445.2989096
2/13/1996,439.5830763
2/14/1996,438.9303894
2/15/1996,439.4029224
2/16/1996,442.8290634
2/19/1996,442.8290634
2/20/1996,443.0957487
2/21/1996,452.2351184
2/22/1996,464.9944364
2/23/1996,465.8155688
2/26/1996,461.4876535
