Date,USA IMI/HEALTH CARE
8/2/1995,264.890098
8/3/1995,263.3693592
8/4/1995,264.1604975
8/7/1995,264.6535188
8/8/1995,264.3141068
8/9/1995,265.5120331
8/10/1995,265.6238485
8/11/1995,264.1965885
8/14/1995,266.7056602
8/15/1995,265.2123443
8/16/1995,264.7049095
8/17/1995,264.2812705
8/18/1995,264.7923133
8/21/1995,266.2991607
8/22/1995,266.1465232
8/23/1995,266.5143407
8/24/1995,266.8828189
8/25/1995,266.883876
8/28/1995,266.1371991
8/29/1995,266.1746813
8/30/1995,267.862996
8/31/1995,268.4956688
9/1/1995,268.0506004
9/4/1995,268.0506004
9/5/1995,270.0144504
9/6/1995,271.4141652
9/7/1995,271.7681226
9/8/1995,273.7539183
9/11/1995,274.072391
9/12/1995,274.138426
9/13/1995,275.8071421
9/14/1995,278.4303944
9/15/1995,278.0577425
9/18/1995,279.7348532
9/19/1995,281.4018321
9/20/1995,282.9997543
9/21/1995,286.0493888
9/22/1995,285.9028141
9/25/1995,286.2918336
9/26/1995,288.0342823
9/27/1995,287.6339523
9/28/1995,288.2307549
9/29/1995,288.6235892
10/2/1995,287.2246264
10/3/1995,289.2393936
10/4/1995,291.8331854
10/5/1995,291.2885284
10/6/1995,292.8133903
10/9/1995,289.2251162
10/10/1995,286.670544
10/11/1995,287.8065695
10/12/1995,290.7498997
10/13/1995,292.0516194
10/16/1995,291.93439
10/17/1995,292.6542885
10/18/1995,293.6939008
10/19/1995,296.4614568
10/20/1995,295.7136509
10/23/1995,295.4874904
10/24/1995,298.1541756
10/25/1995,298.559694
10/26/1995,294.842189
10/27/1995,292.7432002
10/30/1995,293.5708966
10/31/1995,292.548958
11/1/1995,295.0814546
11/2/1995,294.4553477
11/3/1995,295.5744457
11/6/1995,294.7342014
11/7/1995,295.786625
11/8/1995,298.4414707
11/9/1995,298.6876297
11/10/1995,297.5135391
11/13/1995,298.0928428
11/14/1995,298.7527805
11/15/1995,301.0940526
11/16/1995,300.5428643
11/17/1995,301.1817733
11/20/1995,299.5163177
11/21/1995,300.0157008
11/22/1995,299.0393378
11/23/1995,299.0393378
11/24/1995,298.9240966
11/27/1995,300.1997963
11/28/1995,303.3482281
11/29/1995,305.8570602
11/30/1995,308.478496
12/1/1995,307.5490264
12/4/1995,311.7374888
12/5/1995,316.9800921
12/6/1995,319.6365386
12/7/1995,317.7759644
12/8/1995,317.6055999
12/11/1995,318.0910534
12/12/1995,318.4857897
12/13/1995,320.9625956
12/14/1995,322.3470117
12/15/1995,322.1615409
12/18/1995,316.8428915
12/19/1995,314.4540972
12/20/1995,313.92065
12/21/1995,320.0475304
12/22/1995,321.3422299
12/25/1995,321.3422299
12/26/1995,323.1580891
12/27/1995,322.2543453
12/28/1995,324.4455455
12/29/1995,325.5165237
1/1/1996,325.5165237
1/2/1996,322.7311287
1/3/1996,322.6193704
1/4/1996,322.424222
1/5/1996,320.4750276
1/8/1996,322.470267
1/9/1996,318.3690604
1/10/1996,311.6937006
1/11/1996,313.1247577
1/12/1996,314.5104524
1/15/1996,316.3147677
1/16/1996,320.8777804
1/17/1996,320.9808335
1/18/1996,323.4835078
1/19/1996,322.9455198
1/22/1996,322.7502106
1/23/1996,324.859159
1/24/1996,330.9749247
1/25/1996,329.8439353
1/26/1996,333.9677363
1/29/1996,335.1959149
1/30/1996,341.6111083
1/31/1996,343.9361598
2/1/1996,343.7302993
2/2/1996,342.3961093
2/5/1996,343.0996902
2/6/1996,342.1970754
2/7/1996,345.6185902
2/8/1996,348.5890167
2/9/1996,349.1141771
2/12/1996,351.5825109
2/13/1996,351.6779345
2/14/1996,349.747663
2/15/1996,348.4111375
2/16/1996,345.564784
2/19/1996,345.564784
2/20/1996,339.963766
2/21/1996,341.8517847
2/22/1996,347.2598491
2/23/1996,347.3294448
2/26/1996,343.0736714
2/27/1996,341.1060705
2/28/1996,342.3575756
2/29/1996,341.9039734
3/1/1996,345.5470174
3/4/1996,349.966336
3/5/1996,351.4721536
3/6/1996,349.8120264
3/7/1996,354.3608771
3/8/1996,341.7031338
3/11/1996,342.2846653
3/12/1996,338.9679711
3/13/1996,337.9317023
3/14/1996,337.9257011
3/15/1996,337.8073819
3/18/1996,338.903002
3/19/1996,337.3683881
3/20/1996,338.6183546
3/21/1996,345.0935862
3/22/1996,343.9334079
3/25/1996,341.4294526
3/26/1996,343.0373563
3/27/1996,340.2200285
3/28/1996,340.9254156
3/29/1996,341.5873925
4/1/1996,346.5736467
4/2/1996,348.5779564
4/3/1996,347.8793714
4/4/1996,348.5948347
4/5/1996,348.5948347
4/8/1996,342.4939906
4/9/1996,339.8535544
4/10/1996,330.9480535
4/11/1996,329.3893534
4/12/1996,335.2143305
4/15/1996,336.3892094
4/16/1996,336.4071199
4/17/1996,333.8610915
4/18/1996,338.0245839
4/19/1996,339.6611303
4/22/1996,338.2104551
4/23/1996,338.9289513
4/24/1996,335.499644
4/25/1996,337.2072258
4/26/1996,337.8945771
4/29/1996,339.976882
4/30/1996,340.4428425
5/1/1996,340.4381523
5/2/1996,332.0569416
5/3/1996,330.4897067
5/6/1996,328.7642948
5/7/1996,328.6481392
5/8/1996,331.3696087
5/9/1996,330.3788153
5/10/1996,335.0730507
5/13/1996,339.1838518
5/14/1996,340.3112576
5/15/1996,342.0314423
5/16/1996,343.9241648
5/17/1996,345.6268516
5/20/1996,347.0873549
5/21/1996,345.789661
5/22/1996,348.4703874
5/23/1996,349.1535527
5/24/1996,352.4905208
5/27/1996,352.4905208
5/28/1996,349.7093425
5/29/1996,347.8727781
5/30/1996,351.7456209
5/31/1996,350.9688306
6/3/1996,351.4332301
6/4/1996,353.8734565
6/5/1996,357.174268
6/6/1996,355.7854742
6/7/1996,354.7275916
6/10/1996,355.1987355
6/11/1996,353.505601
6/12/1996,352.6380018
6/13/1996,352.4685491
6/14/1996,352.9056626
6/17/1996,350.9674199
6/18/1996,347.4280051
6/19/1996,346.77253
6/20/1996,345.9910295
6/21/1996,347.7187997
6/24/1996,347.1362308
6/25/1996,349.5404968
6/26/1996,345.9099284
6/27/1996,346.1334526
6/28/1996,349.0488078
7/1/1996,350.997397
7/2/1996,349.893211
7/3/1996,349.6590421
7/4/1996,349.6590421
7/5/1996,341.6854804
7/8/1996,339.9298665
7/9/1996,339.0543365
7/10/1996,337.4033782
7/11/1996,330.5843501
7/12/1996,329.7884613
7/15/1996,322.8370453
7/16/1996,321.4678869
7/17/1996,324.7738467
7/18/1996,333.5347311
7/19/1996,331.8217526
7/22/1996,329.9849956
7/23/1996,323.3699811
7/24/1996,322.9190629
7/25/1996,323.6659594
7/26/1996,326.7186205
7/29/1996,323.7472395
7/30/1996,323.9903177
7/31/1996,325.197822
8/1/1996,331.5130622
8/2/1996,337.2664223
8/5/1996,338.0477739
8/6/1996,339.7140544
8/7/1996,340.6832006
8/8/1996,340.4100264
8/9/1996,341.2828338
8/12/1996,345.0311239
8/13/1996,343.1481865
8/14/1996,342.883175
8/15/1996,343.3735966
8/16/1996,343.7029651
8/19/1996,344.804519
8/20/1996,342.9832046
8/21/1996,344.9920204
8/22/1996,347.789934
8/23/1996,345.2243714
8/26/1996,343.5818593
8/27/1996,346.17837
8/28/1996,345.8694495
8/29/1996,342.2544947
8/30/1996,339.5425
9/2/1996,339.5425
9/3/1996,339.3632568
9/4/1996,340.5885656
9/5/1996,338.6242745
9/6/1996,342.9946911
9/9/1996,346.6355514
9/10/1996,347.1397426
9/11/1996,347.6248213
9/12/1996,350.6856177
9/13/1996,355.2522214
9/16/1996,357.1083256
9/17/1996,355.5294534
9/18/1996,354.2718568
9/19/1996,356.1945627
9/20/1996,357.4192431
9/23/1996,358.3250128
9/24/1996,357.5447373
9/25/1996,358.5146649
9/26/1996,363.6854959
9/27/1996,364.1399213
9/30/1996,365.1431766
10/1/1996,364.8609451
10/2/1996,364.2003591
10/3/1996,364.7467081
10/4/1996,368.4710868
10/7/1996,366.3128224
10/8/1996,366.7772271
10/9/1996,363.9524765
10/10/1996,361.511737
10/11/1996,363.3157362
10/14/1996,367.6340133
10/15/1996,365.7902698
10/16/1996,364.6730327
10/17/1996,368.1237092
10/18/1996,370.334885
10/21/1996,368.9600436
10/22/1996,365.6392326
10/23/1996,365.9180739
10/24/1996,364.6606744
10/25/1996,360.0049364
10/28/1996,355.5224522
10/29/1996,357.4691101
10/30/1996,355.9476016
10/31/1996,360.0536542
11/1/1996,359.5469211
11/4/1996,360.3731635
11/5/1996,363.6470904
11/6/1996,375.691488
11/7/1996,376.4625782
11/8/1996,379.7269786
11/11/1996,378.451408
11/12/1996,374.1731724
11/13/1996,376.0570239
11/14/1996,376.9347478
11/15/1996,376.8322326
11/18/1996,374.4837252
11/19/1996,374.5298505
11/20/1996,375.0178171
11/21/1996,376.3513932
11/22/1996,378.711146
11/25/1996,384.6170975
11/26/1996,383.8368577
11/27/1996,383.6673162
11/28/1996,383.6673162
11/29/1996,383.8709365
12/2/1996,382.8303892
12/3/1996,381.0617921
12/4/1996,379.0713137
12/5/1996,377.1314592
12/6/1996,375.2745268
12/9/1996,382.2804444
12/10/1996,381.5660551
12/11/1996,378.1458099
12/12/1996,372.0795811
12/13/1996,371.9959909
12/16/1996,366.0982444
12/17/1996,366.7654938
12/18/1996,370.5567482
12/19/1996,379.5032533
12/20/1996,380.735158
12/23/1996,380.6241542
12/24/1996,381.2197797
12/25/1996,381.2197797
12/26/1996,380.5239774
12/27/1996,381.6893106
12/30/1996,380.9425884
12/31/1996,376.7937669
1/1/1997,376.7937669
1/2/1997,374.2772619
1/3/1997,381.1287433
1/6/1997,381.5471737
1/7/1997,384.5912177
1/8/1997,382.9130066
1/9/1997,385.6022363
1/10/1997,388.1374773
1/13/1997,386.5204122
1/14/1997,390.697814
1/15/1997,390.9959709
1/16/1997,393.7138685
1/17/1997,396.3520399
1/20/1997,394.1605513
1/21/1997,397.1196382
1/22/1997,402.8003831
1/23/1997,397.5714104
1/24/1997,395.8640221
1/27/1997,390.2853681
1/28/1997,393.2375956
1/29/1997,395.9544402
1/30/1997,405.2962047
1/31/1997,409.8260909
2/3/1997,408.7361184
2/4/1997,410.8885101
2/5/1997,405.1335264
2/6/1997,408.8527697
2/7/1997,413.9154991
2/10/1997,412.3594654
2/11/1997,414.6745023
2/12/1997,422.1203685
2/13/1997,431.6317029
2/14/1997,430.4135705
2/17/1997,430.4135705
2/18/1997,435.1108847
2/19/1997,432.1330673
2/20/1997,426.7684787
2/21/1997,424.4354667
2/24/1997,429.5435945
2/25/1997,428.7280048
2/26/1997,425.0918257
2/27/1997,416.9042759
2/28/1997,413.9635989
3/3/1997,418.5647551
3/4/1997,413.0123063
3/5/1997,424.7960264
3/6/1997,419.3579674
3/7/1997,425.7980021
3/10/1997,432.1060358
3/11/1997,429.066048
3/12/1997,423.5314991
3/13/1997,416.186455
3/14/1997,413.5827125
3/17/1997,418.3634581
3/18/1997,414.2630341
3/19/1997,413.1635282
3/20/1997,409.9068471
3/21/1997,408.8808868
3/24/1997,409.7063417
3/25/1997,410.9650431
3/26/1997,410.0144448
3/27/1997,402.325765
3/28/1997,402.325765
3/31/1997,385.2654803
4/1/1997,388.945641
4/2/1997,384.1037432
4/3/1997,385.4527308
4/4/1997,392.9403679
4/7/1997,393.7391095
4/8/1997,391.5355054
4/9/1997,384.6631763
4/10/1997,387.7630849
4/11/1997,375.9766462
4/14/1997,379.2109978
4/15/1997,387.5719569
4/16/1997,393.6816117
4/17/1997,392.8430121
4/18/1997,391.9959766
4/21/1997,389.5862233
4/22/1997,397.2907647
4/23/1997,395.8185618
4/24/1997,394.897789
4/25/1997,391.5319917
4/28/1997,394.1753443
4/29/1997,404.4746846
4/30/1997,407.2541515
5/1/1997,404.705937
5/2/1997,413.9617586
5/5/1997,423.1366021
5/6/1997,422.9876985
5/7/1997,417.6628954
5/8/1997,417.3775982
5/9/1997,419.4617177
5/12/1997,427.4015464
5/13/1997,428.7853895
5/14/1997,430.0139555
5/15/1997,434.0589484
5/16/1997,427.8213736
5/19/1997,430.3654259
5/20/1997,432.389104
5/21/1997,430.8124185
5/22/1997,428.5745991
5/23/1997,434.7262259
5/26/1997,434.7262259
5/27/1997,436.9220383
5/28/1997,434.2390344
5/29/1997,433.1682174
5/30/1997,438.1466902
6/2/1997,436.8131133
6/3/1997,438.1165481
6/4/1997,437.3191726
6/5/1997,439.0636742
6/6/1997,448.1382691
6/9/1997,452.8884218
6/10/1997,451.8835185
6/11/1997,456.3345755
6/12/1997,462.8304894
6/13/1997,468.7857618
6/16/1997,466.0297817
6/17/1997,465.0604835
6/18/1997,459.1711774
6/19/1997,470.554868
6/20/1997,473.5758441
6/23/1997,463.1451138
6/24/1997,478.0523169
6/25/1997,475.4494094
6/26/1997,472.3264695
6/27/1997,475.8172997
6/30/1997,472.8428629
7/1/1997,476.3254473
7/2/1997,482.2063435
7/3/1997,489.2572017
7/4/1997,489.2572017
7/7/1997,484.0278208
7/8/1997,488.160519
7/9/1997,480.6946709
7/10/1997,483.5257168
7/11/1997,485.2336465
7/14/1997,485.8120027
7/15/1997,487.4074394
7/16/1997,484.6451873
7/17/1997,487.541099
7/18/1997,479.424997
7/21/1997,478.6480246
7/22/1997,486.7252496
7/23/1997,491.5101187
7/24/1997,491.1785696
7/25/1997,486.2629718
7/28/1997,479.0734532
7/29/1997,481.729026
7/30/1997,484.9842177
7/31/1997,485.7519214
8/1/1997,480.8768455
8/4/1997,482.3395563
8/5/1997,484.5999992
8/6/1997,484.7835991
8/7/1997,478.4492827
8/8/1997,472.045957
8/11/1997,465.032557
8/12/1997,457.2430071
8/13/1997,452.3891553
8/14/1997,458.8990974
8/15/1997,448.0658424
8/18/1997,453.7698272
8/19/1997,462.0765875
8/20/1997,470.4124947
8/21/1997,466.0919919
8/22/1997,465.3088646
8/25/1997,462.0061531
8/26/1997,455.5400371
8/27/1997,459.2066557
8/28/1997,455.7376386
8/29/1997,456.7329353
9/1/1997,456.7350649
9/2/1997,469.0400432
9/3/1997,469.1564544
9/4/1997,472.8130312
9/5/1997,472.6541476
9/8/1997,471.0977328
9/9/1997,470.8766692
9/10/1997,463.5806869
9/11/1997,461.8236583
9/12/1997,472.1032495
9/15/1997,471.3363942
9/16/1997,481.4253825
9/17/1997,479.0727189
9/18/1997,479.8252533
9/19/1997,483.2740281
9/22/1997,490.7351251
9/23/1997,488.2787595
9/24/1997,483.0473406
9/25/1997,478.508128
9/26/1997,483.3362065
9/29/1997,485.1957236
9/30/1997,484.0538714
10/1/1997,484.6381576
10/2/1997,487.1345945
10/3/1997,491.6917559
10/6/1997,494.7219401
10/7/1997,504.5777297
10/8/1997,502.9866929
10/9/1997,499.3944677
10/10/1997,497.982669
10/13/1997,498.7036177
10/14/1997,501.93906
10/15/1997,500.3321964
10/16/1997,495.3310273
10/17/1997,488.8530767
10/20/1997,494.8023898
10/21/1997,503.5127305
10/22/1997,505.3963733
10/23/1997,497.5113711
10/24/1997,495.1336815
10/27/1997,457.1589729
10/28/1997,478.7420556
