Date,USA IMI/MATERIALS
12/1/1995,348.3832404
12/4/1995,350.8316254
12/5/1995,353.154323
12/6/1995,352.2969357
12/7/1995,349.5068479
12/8/1995,348.4544181
12/11/1995,347.3929949
12/12/1995,344.4146484
12/13/1995,343.6705696
12/14/1995,343.7297722
12/15/1995,342.9646513
12/18/1995,337.9696694
12/19/1995,340.7149074
12/20/1995,340.3310256
12/21/1995,341.9480745
12/22/1995,342.2133824
12/25/1995,342.2133824
12/26/1995,343.2539294
12/27/1995,343.1320767
12/28/1995,343.3795013
12/29/1995,347.0348677
1/1/1996,347.0348677
1/2/1996,353.1989925
1/3/1996,356.400336
1/4/1996,354.7232037
1/5/1996,354.6677233
1/8/1996,354.7793701
1/9/1996,353.1040071
1/10/1996,347.8028372
1/11/1996,349.1130613
1/12/1996,348.3269925
1/15/1996,346.1283877
1/16/1996,345.2724451
1/17/1996,344.7387114
1/18/1996,342.6507513
1/19/1996,345.2542109
1/22/1996,351.2036804
1/23/1996,350.0340705
1/24/1996,352.4179517
1/25/1996,353.5519827
1/26/1996,355.0639877
1/29/1996,357.9268261
1/30/1996,365.2201166
1/31/1996,366.7467746
2/1/1996,370.1298253
2/2/1996,369.0835133
2/5/1996,371.2791362
2/6/1996,373.4224684
2/7/1996,372.724984
2/8/1996,373.4914157
2/9/1996,372.08697
2/12/1996,375.9222982
2/13/1996,374.8718881
2/14/1996,373.8331936
2/15/1996,371.7001903
2/16/1996,370.0738347
2/19/1996,370.0738347
2/20/1996,366.086946
2/21/1996,369.9741633
2/22/1996,374.1801904
2/23/1996,376.080479
2/26/1996,373.3671603
2/27/1996,373.0038886
2/28/1996,371.6627062
2/29/1996,368.641539
3/1/1996,371.4038941
3/4/1996,375.2861252
3/5/1996,376.9205891
3/6/1996,377.2795337
3/7/1996,378.7324874
3/8/1996,372.3115133
3/11/1996,379.7743668
3/12/1996,380.8281048
3/13/1996,383.6717355
3/14/1996,386.4683368
3/15/1996,387.5406905
3/18/1996,392.3433789
3/19/1996,394.1573956
3/20/1996,389.74266
3/21/1996,389.4040531
3/22/1996,388.8979202
3/25/1996,388.2907725
3/26/1996,389.5028628
3/27/1996,387.8235016
3/28/1996,388.2338743
3/29/1996,388.4790343
4/1/1996,388.9829754
4/2/1996,389.5596218
4/3/1996,389.5763966
4/4/1996,390.082428
4/5/1996,390.082428
4/8/1996,387.9426993
4/9/1996,390.0998431
4/10/1996,389.0104962
4/11/1996,387.3898828
4/12/1996,387.7095704
4/15/1996,389.5837606
4/16/1996,393.889767
4/17/1996,391.86847
4/18/1996,393.0191034
4/19/1996,391.8407073
4/22/1996,391.2286552
4/23/1996,391.3411022
4/24/1996,389.6799975
4/25/1996,390.7377017
4/26/1996,390.2821986
4/29/1996,391.6313955
4/30/1996,391.2453164
5/1/1996,391.2532279
5/2/1996,389.3761028
5/3/1996,392.1498673
5/6/1996,392.9439596
5/7/1996,390.2207764
5/8/1996,390.1310868
5/9/1996,388.4828185
5/10/1996,389.0606931
5/13/1996,392.8027793
5/14/1996,395.4563239
5/15/1996,393.8443171
5/16/1996,393.4429388
5/17/1996,395.4851397
5/20/1996,395.8523213
5/21/1996,398.8944388
5/22/1996,397.9359225
5/23/1996,395.882093
5/24/1996,395.8989139
5/27/1996,395.8989139
5/28/1996,393.2298724
5/29/1996,389.9359308
5/30/1996,391.1471616
5/31/1996,388.9763328
6/3/1996,389.5412622
6/4/1996,389.1439064
6/5/1996,387.6347851
